site_number,status,address,opened_date,project_name,trucking_price_per_load,total_price_per_load,geocoded,distance_miles,roundtrip_minutes
,,"840 E ONTARIO BL, ONTARIO CA 91761",,,,,False,,
,,"1900 E INLAND EMPIRE BL, SUITE A, ONTARIO CA 91764",,,,,False,,
,,"1024 E 6th ST, BLDG a, Ontario CA 91764 United States",,,,,False,,
,,"3990 E INLAND EMPIRE BL, ONTARIO CA 91764",,,,,False,,
,,"0 E EDISON AV, ONTARIO CA 91710",,,,,False,,
,,"4170 E ONTARIO RANCH RD, ONTARIO CA 91761",,,,,False,,
,,"215 W G ST, ONTARIO CA 91762",,,,,False,,
,,"1024 E SIXTH ST, Ontario CA 91764",,,,,False,,
,,"1557 N PLEASANT AV, ONTARIO CA 91764",,,,,False,,
,,"855 S BENSON AV, ONTARIO CA 91762",,,,,False,,
,,"1624 W PHILADELPHIA ST, ONTARIO CA 91762",,,,,False,,
,,"214 E ROSEWOOD CT, ONTARIO CA 91764",,,,,False,,
,,"0 E EDISON AV, ONTARIO CA 91710",,,,,False,,
,,"4246 E ONTARIO RANCH RD, ONTARIO CA 91761",,,,,False,,
,,"3990 E INLAND EMPIRE BL, ONTARIO CA 91764",,,,,False,,
,,"1253 W E ST, ONTARIO CA 91762",,,,,False,,
,,"4430 E ONTARIO MILLS PW, BLDG 3, ONTARIO CA 91764",,,,,False,,
,,"4430 E ONTARIO MILLS PW, BLDG 3, ONTARIO CA 91764",,,,,False,,
,,"109 W HOLT BL, BLDG 1, ONTARIO CA 91762",,,,,False,,
,,"1261 S GROVE AV, ONTARIO CA 91761",,,,,False,,
,,"1261 S GROVE AV, Ontario CA 91761",,,,,False,,
,,"1 E MILLS CI, SUITE 1-100, ONTARIO CA 91764",,,,,False,,
,,"3100 S HAMNER AV, ONTARIO CA 91761",,,,,False,,
,,"960 N HAVEN AV, SUITE 100, Ontario CA 91764",,,,,False,,
,,"3110 E GUASTI RD, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"3100 S HAMNER AV, ONTARIO CA 91761",,,,,False,,
,,"960 N HAVEN AV, SUITE 100, Ontario CA 91764",,,,,False,,
,,"3110 E GUASTI RD, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"1 E MILLS CI, SUITE 1-100, ONTARIO CA 91764",,,,,False,,
,,"5171 E FRANCIS ST, ONTARIO CA 91761",,,,,False,,
,,"2938 S MILLIKEN AV, ONTARIO CA 91761",,,,,False,,
,,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",,,,,False,,
,,"552 E E ST, ONTARIO CA 91764",,,,,False,,
,,"552 E E ST, ONTARIO CA 91764",,,,,False,,
,,"960 N HAVEN AV, SUITE 100, ONTARIO CA 91764",,,,,False,,
,,"1150 W FOURTH ST, ONTARIO CA 91762",,,,,False,,
,,"552 E E ST, ONTARIO CA 91764",,,,,False,,
,,"552 E E ST, ONTARIO CA 91764",,,,,False,,
,,"320 E D ST, ONTARIO CA 91764",,,,,False,,
,,"1624 W PHILADELPHIA ST, ONTARIO CA 91762",,,,,False,,
,,"0 S ARCHIBALD AV, ONTARIO CA 91761",,,,,False,,
,,"14100 S MILLIKEN AV, ONTARIO CA 91761",,,,,False,,
,,"14100 S MILLIKEN AV, ONTARIO CA 91761",,,,,False,,
,,"3430 E ONTARIO RANCH RD, SUITE 1, ONTARIO CA 91761",,,,,False,,
,,"0 S ARCHIBALD AV, ONTARIO CA 91761",,,,,False,,
,,"0 E INLAND EMPIRE BL, ONTARIO CA 91764",,,,,False,,
,,"2150 E MAPLE PRIVADO, ONTARIO CA 91761",,,,,False,,
,,"791 N MILLIKEN AV, ONTARIO CA 91764",,,,,False,,
,,"0 E INLAND EMPIRE BL, ONTARIO CA 91764",,,,,False,,
,,"1624 W PHILADELPHIA ST, ONTARIO CA 91762",,,,,False,,
,,"0 E INLAND EMPIRE BL, ONTARIO CA 91764",,,,,False,,
,,"912 W G ST, ONTARIO CA 91762",,,,,False,,
,,"1795 E HOLT BL, SUITE 103, ONTARIO CA 91761",,,,,False,,
,,"1795 E HOLT BL, SUITE 103, ONTARIO CA 91761",,,,,False,,
,,"1024 S GROVE AV, Ontario CA 91761",,,,,False,,
,,"1795 E HOLT BL, SUITE 103, ONTARIO CA 91761",,,,,False,,
,,"7260 E EDISON AV, ONTARIO CA 91761",,,,,False,,
,,"3110 E GUASTI RD, SUITE 560, ONTARIO CA 91761",,,,,False,,
,,"2505 S EUCLID AV, BLDG 1, ONTARIO CA 91761",,,,,False,,
,,"2458 S GROVE AV, SUITE 1-A, ONTARIO CA 91761",,,,,False,,
,,"3190 E SHELBY ST, BLDG C, Ontario CA 91764",,,,,False,,
,,"301 S ROCKEFELLER AV, ONTARIO CA 91761",,,,,False,,
,,"2150 E MAPLE PRIVADO, ONTARIO CA 91761",,,,,False,,
,,"3110 E GUASTI RD, SUITE 560, ONTARIO CA 91761",,,,,False,,
,,"7260 E EDISON AV, ONTARIO CA 91761",,,,,False,,
,,"1608 W PHILADELPHIA ST, ONTARIO CA 91762",,,,,False,,
,,"14100 S MILLIKEN AV, ONTARIO CA 91761",,,,,False,,
,,"116 E SUNKIST ST, Ontario CA 91761",,,,,False,,
,,"4170 E ONTARIO RANCH RD, ONTARIO CA 91761",,,,,False,,
,,"2938 S MILLIKEN AV, ONTARIO CA 91761",,,,,False,,
,,"3190 E SHELBY ST, BLDG C, Ontario CA 91764",,,,,False,,
,,nan,,,,,False,,
,,"1050 N ONTARIO MILLS DR, ONTARIO CA 91764",,,,,False,,
,,"108 W HOLT BL, BLDG 1, ONTARIO CA 91762",,,,,False,,
,,"301 S ROCKEFELLER AV, ONTARIO CA 91761",,,,,False,,
,,"14100 S MILLIKEN AV, ONTARIO CA 91761",,,,,False,,
,,"14100 S MILLIKEN AV, ONTARIO CA 91761",,,,,False,,
,,"2458 S GROVE AV, SUITE 1-A, ONTARIO CA 91761",,,,,False,,
,,nan,,,,,False,,
,,nan,,,,,False,,
